FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
307,R5,RES SINGLE FAMILY,RESIDENTIAL,945.229997731,55426.7729234,5.29641477e-07,0.002966381142349
308,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,434.456478841,9594.00203594,9.1686502e-08,0.001363049912983
309,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2553.59982999,240380.441247,2.297138938e-06,0.007406662182066
310,R7,RES MULTI-FAMILY,RESIDENTIAL,3522.24680326,512842.1939,4.901022038e-06,0.010395708798418
311,OR1,OFFICE/RES,OFFICE,883.965192279,39646.3668563,3.7888101e-07,0.002711836584693
312,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,625.029314277,21414.6739492,2.04646156e-07,0.001993133176329
313,R5,RES SINGLE FAMILY,RESIDENTIAL,994.511596175,49098.2665063,4.69199433e-07,0.003019672507834
314,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1310.42989,96681.2378,9.23904531e-07,0.004004884983112
315,R5A,RES MULTI FAMILY,RESIDENTIAL,1414.67133943,38552.0464281,3.68290993e-07,0.004395383958238
316,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,288.904010271,5174.34684531,4.9444549e-08,0.00090847262608
317,OR1,OFFICE/RES,OFFICE,649.245621818,17301.1498219,1.65323402e-07,0.001881518393682
